Company,Date,Market Cap
ABBV,2013-01-31,57870000000.0
ABBV,2013-03-31,64580000000.0
ABBV,2013-06-30,65540000000.00001
ABBV,2013-09-30,71160000000.0
ABBV,2014-01-31,78200000000.0
ABBV,2014-03-31,81730000000.0
ABBV,2014-06-30,89840000000.0
ABBV,2014-09-30,92030000000.0
ABBV,2015-01-31,96190000000.0
ABBV,2015-03-31,93260000000.0
ABBV,2015-06-30,111220000000.0
ABBV,2015-09-30,88950000000.0
ABBV,2016-01-31,88460000000.0
ABBV,2016-03-31,92380000000.0
ABBV,2016-06-30,100820000000.0
ABBV,2016-10-24,99330000000.0
ABBV,2017-01-31,97400000000.0
ABBV,2017-04-24,102910000000.0
ABBV,2017-07-24,117820000000.0
ABBV,2017-10-24,146380000000.0
ABBV,2018-02-02,182890000000.0
ABBV,2018-04-27,156670000000.0
ABBV,2018-07-31,139660000000.0
ABBV,2018-10-31,117100000000.0
ABBV,2019-02-08,117520000000.0
ABBV,2019-04-26,117820000000.0
ABBV,2019-07-29,99320000000.0
ABBV,2018-03-06,2740000000.0
ABBV,2019-10-29,116040000000.0
ABBV,2020-01-31,119840000000.0
ABBV,2020-04-30,121390000000.0
ABBV,2020-07-28,170680000000.0
ABBV,2020-10-27,146020000000.0
ABBV,2021-01-31,180970000000.0
ABBV,2021-04-28,197690000000.0
ABBV,2021-07-26,208160000000.0
ABBV,2021-10-25,191820000000.0
ABBV,2022-01-31,242120000000.0
ABBV,2022-04-27,278530000000.0
ABBV,2022-07-27,267250000000.0
ABBV,2022-10-26,269709999999.99997
ABBV,2023-01-31,261430000000.0
ABBV,2023-04-25,290930000000.0
ABBV,2023-07-31,264019999999.99997
ABBV,2023-10-27,245290000000.0
ABBV,2024-04-25,295410000000.0
ABBV,2024-07-29,321370000000.0
ABBV,2024-10-28,335190000000.0
