Company,Date,Market Cap
AGIO,2013-07-24,919020000.0
AGIO,2013-11-01,716940000.0
AGIO,2014-03-14,1370000000.0
AGIO,2014-08-06,1290000000.0
AGIO,2014-11-06,2880000000.0
AGIO,2015-02-20,3960000000.0
AGIO,2015-05-08,4059999999.9999995
AGIO,2015-08-05,4190000000.0000005
AGIO,2015-11-04,2930000000.0
AGIO,2016-02-23,1450000000.0
AGIO,2016-05-05,1640000000.0
AGIO,2016-08-05,1640000000.0
AGIO,2016-10-31,2009999999.9999998
AGIO,2017-02-14,1960000000.0
AGIO,2017-05-01,2470000000.0
AGIO,2017-08-04,2970000000.0
AGIO,2017-10-30,3210000000.0
AGIO,2018-02-09,4190000000.0000005
AGIO,2018-04-30,4830000000.0
AGIO,2018-07-30,4980000000.0
AGIO,2018-10-29,3520000000.0
AGIO,2019-02-08,3120000000.0
AGIO,2019-04-26,3330000000.0
AGIO,2019-07-26,2680000000.0
AGIO,2019-08-14,395360000.0
AGIO,2019-10-25,1930000000.0
AGIO,2020-02-13,3560000000.0
AGIO,2020-04-24,3200000000.0
AGIO,2020-07-24,3510000000.0
AGIO,2020-10-30,2780000000.0
AGIO,2021-02-18,3500000000.0
AGIO,2021-04-23,3830000000.0
AGIO,2021-07-23,2960000000.0
AGIO,2021-10-29,2550000000.0
AGIO,2022-02-18,1610000000.0
AGIO,2022-04-29,1200000000.0
AGIO,2022-07-29,1180000000.0
AGIO,2022-10-28,1570000000.0
AGIO,2023-02-17,1530000000.0
AGIO,2023-04-28,1270000000.0
AGIO,2023-07-28,1480000000.0
AGIO,2023-10-27,1120000000.0
AGIO,2024-02-09,1410000000.0
AGIO,2024-04-26,1790000000.0
AGIO,2024-07-26,2730000000.0
AGIO,2024-10-25,2570000000.0
