Company,Date,Market Cap
ALGN,2010-02-19,1350000000.0
ALGN,2010-04-30,1290000000.0
ALGN,2010-07-30,1320000000.0
ALGN,2010-10-29,1300000000.0
ALGN,2011-02-18,1600000000.0
ALGN,2011-04-29,1880000000.0
ALGN,2011-07-29,1730000000.0
ALGN,2011-10-28,1860000000.0
ALGN,2012-02-22,2109999999.9999998
ALGN,2012-05-03,2600000000.0
ALGN,2012-07-27,2910000000.0
ALGN,2012-11-02,2109999999.9999998
ALGN,2013-02-22,2610000000.0
ALGN,2013-04-26,2640000000.0
ALGN,2013-07-26,3410000000.0
ALGN,2013-10-25,4500000000.0
ALGN,2014-02-21,4320000000.0
ALGN,2014-04-25,4080000000.0
ALGN,2014-07-25,4550000000.0
ALGN,2014-10-24,4130000000.0
ALGN,2015-02-20,4590000000.0
ALGN,2015-04-24,4780000000.0
ALGN,2015-07-24,4840000000.0
ALGN,2015-10-23,5400000000.0
ALGN,2016-02-19,5040000000.0
ALGN,2016-04-29,5790000000.0
ALGN,2016-07-29,7140000000.0
ALGN,2016-10-31,6850000000.0
ALGN,2017-02-21,8180000000.0
ALGN,2017-04-28,10810000000.0
ALGN,2017-07-28,13870000000.0
ALGN,2017-10-27,18920000000.0
ALGN,2018-02-23,21240000000.0
ALGN,2018-04-27,20670000000.0
ALGN,2018-07-27,28410000000.0
ALGN,2018-10-26,18410000000.0
ALGN,2019-02-22,20320000000.0
ALGN,2019-04-26,25440000000.0
ALGN,2019-07-26,15880000000.0
ALGN,2018-06-30,182670000000.0
ALGN,2019-10-25,19180000000.0
ALGN,2020-02-21,20500000000.0
ALGN,2020-04-30,16920000000.000002
ALGN,2020-07-24,23490000000.0
ALGN,2020-10-23,37020000000.0
ALGN,2021-02-22,45860000000.0
ALGN,2021-04-30,47130000000.0
ALGN,2021-07-30,54980000000.0
ALGN,2021-10-28,49820000000.0
ALGN,2022-02-21,39290000000.0
ALGN,2022-04-29,22850000000.0
ALGN,2022-07-29,21950000000.0
ALGN,2022-10-28,14730000000.0
ALGN,2023-02-20,24260000000.0
ALGN,2023-04-28,24890000000.0
ALGN,2023-07-28,29230000000.0
ALGN,2023-10-27,14620000000.0
ALGN,2024-02-22,23770000000.0
ALGN,2024-04-26,23260000000.0
ALGN,2024-07-26,16469999999.999998
ALGN,2024-11-01,15570000000.0
