Company,Date,Market Cap
ALNY,2010-01-31,707050000.0
ALNY,2010-04-30,711660000.0
ALNY,2010-07-30,646180000.0
ALNY,2010-10-29,554510000.0
ALNY,2011-01-31,437410000.0
ALNY,2011-05-02,424080000.0
ALNY,2011-07-29,400070000.0
ALNY,2011-10-31,346940000.0
ALNY,2012-01-31,499490000.0
ALNY,2012-04-30,591710000.0
ALNY,2012-07-31,976460000.0
ALNY,2012-10-31,847540000.0
ALNY,2013-01-31,1490000000.0
ALNY,2013-04-30,1490000000.0
ALNY,2013-07-31,2910000000.0
ALNY,2013-10-31,3650000000.0
ALNY,2014-01-31,5350000000.0
ALNY,2014-04-30,3740000000.0
ALNY,2014-07-31,4130000000.0
ALNY,2014-10-31,7130000000.0
ALNY,2015-01-30,7860000000.0
ALNY,2015-04-30,8590000000.0
ALNY,2015-07-31,10780000000.0
ALNY,2015-10-30,7280000000.0
ALNY,2016-01-29,5870000000.0
ALNY,2016-04-29,5740000000.0
ALNY,2016-07-29,5840000000.0
ALNY,2016-10-31,3050000000.0
ALNY,2017-01-31,3440000000.0
ALNY,2017-04-28,4620000000.0
ALNY,2017-07-31,7590000000.0
ALNY,2017-10-31,11300000000.0
ALNY,2018-01-31,12980000000.0
ALNY,2018-04-30,9500000000.0
ALNY,2018-07-31,9560000000.0
ALNY,2018-10-31,8130000000.000001
ALNY,2019-01-31,8880000000.0
ALNY,2019-04-30,9520000000.0
ALNY,2019-07-31,8630000000.0
ALNY,2019-10-25,9950000000.0
ALNY,2020-02-07,14130000000.0
ALNY,2020-04-30,15120000000.0
ALNY,2020-07-31,16899999999.999998
ALNY,2020-10-30,14290000000.0
ALNY,2021-02-05,19320000000.0
ALNY,2021-04-23,16070000000.0
ALNY,2021-07-30,21270000000.0
ALNY,2021-10-22,23750000000.0
ALNY,2022-02-04,17480000000.0
ALNY,2022-04-22,20180000000.0
ALNY,2022-07-22,17190000000.0
ALNY,2022-10-21,24470000000.0
ALNY,2023-02-17,27660000000.0
ALNY,2023-04-28,24810000000.0
ALNY,2023-07-28,24910000000.0
ALNY,2023-10-27,19040000000.0
ALNY,2024-02-09,21410000000.0
ALNY,2024-04-26,18130000000.0
ALNY,2024-07-26,30150000000.0
ALNY,2024-10-25,36740000000.0
