Company,Date,Market Cap
ALT,2017-08-08,37010000.0
ALT,2017-11-09,35370000.0
ALT,2018-03-30,25830000.0
ALT,2018-05-14,13420000.0
ALT,2018-08-14,13860000.0
ALT,2018-09-14,6990000.0
ALT,2018-11-13,29770000.0
ALT,2019-03-27,40220000.0
ALT,2019-05-13,34570000.0
ALT,2019-08-13,32520000.000000004
ALT,2019-08-09,92060000.0
ALT,2019-11-12,26840000.0
ALT,2020-03-26,49930000.0
ALT,2020-05-13,64129999.99999999
ALT,2020-08-07,900920000.0
ALT,2020-11-06,411730000.0
ALT,2021-02-23,711800000.0
ALT,2021-05-14,513750000.0
ALT,2021-11-05,430770000.0
ALT,2022-03-11,300830000.0
ALT,2022-05-10,184550000.0
ALT,2022-11-04,582040000.0
ALT,2023-05-05,243500000.0
ALT,2023-08-04,165440000.0
ALT,2023-11-03,147220000.0
ALT,2024-03-22,643730000.0
ALT,2024-05-03,517590000.00000006
ALT,2024-08-02,426430000.0
ALT,2024-11-08,546240000.0
