Company,Date,Market Cap
ANAB,2017-01-26,308710000.0
ANAB,2017-02-28,481140000.0
ANAB,2017-05-09,523150000.0
ANAB,2017-08-08,437970000.0
ANAB,2017-11-03,1530000000.0
ANAB,2018-02-28,2920000000.0
ANAB,2018-05-04,2200000000.0
ANAB,2018-08-03,1810000000.0
ANAB,2018-11-06,2150000000.0
ANAB,2019-02-25,1880000000.0
ANAB,2019-05-03,1980000000.0
ANAB,2019-08-05,1360000000.0
ANAB,2019-11-05,1050000000.0
ANAB,2020-02-27,398070000.0
ANAB,2020-05-04,496990000.0
ANAB,2020-08-06,485180000.0
ANAB,2020-11-02,820430000.0
ANAB,2021-02-23,730680000.0
ANAB,2021-04-30,639070000.0
ANAB,2021-08-05,657030000.0
ANAB,2021-11-02,848340000.0
ANAB,2022-03-03,829070000.0
ANAB,2022-05-02,677870000.0
ANAB,2022-08-04,653740000.0
ANAB,2022-11-04,843570000.0
ANAB,2023-02-27,686820000.0
ANAB,2023-05-09,557030000.0
ANAB,2023-08-02,538610000.0
ANAB,2023-10-30,438220000.0
ANAB,2024-03-05,677910000.0
ANAB,2024-05-06,704000000.0
ANAB,2024-07-31,956330000.0
ANAB,2024-10-31,658170000.0
