Company,Date,Market Cap
APLS,2017-11-09,691070000.0
APLS,2017-12-20,718270000.0
APLS,2018-03-12,1180000000.0
APLS,2018-04-24,1250000000.0
APLS,2018-07-20,1030000000.0
APLS,2018-11-05,838010000.0
APLS,2019-02-19,808730000.0
APLS,2019-04-30,1250000000.0
APLS,2019-07-24,1850000000.0
APLS,2019-08-05,210080000.0
APLS,2019-11-01,1950000000.0
APLS,2020-02-21,2780000000.0
APLS,2020-04-24,2780000000.0
APLS,2020-07-27,2150000000.0
APLS,2020-10-28,2450000000.0
APLS,2021-02-22,3640000000.0
APLS,2021-04-23,3560000000.0
APLS,2021-08-03,5540000000.0
APLS,2021-11-02,2880000000.0
APLS,2022-02-23,4090000000.0
APLS,2022-04-29,4640000000.0
APLS,2022-08-04,6740000000.0
APLS,2022-11-01,6710000000.0
APLS,2023-02-15,5890000000.0
APLS,2023-05-01,9660000000.0
APLS,2023-07-24,3790000000.0
APLS,2023-10-24,5800000000.0
APLS,2024-02-20,8180000000.0
APLS,2024-02-23,8260000000.0
APLS,2024-05-01,5590000000.0
APLS,2024-07-25,4730000000.0
APLS,2024-10-29,3410000000.0
