Company,Date,Market Cap
A,2010-01-31,9760000000.0
A,2010-04-30,12620000000.0
A,2010-07-31,9670000000.0
A,2010-11-30,12170000000.0
A,2011-01-31,14440000000.0
A,2011-04-30,17370000000.0
A,2011-07-31,14640000000.0
A,2011-12-01,13170000000.0
A,2012-01-31,14760000000.0
A,2012-04-30,14660000000.0
A,2012-07-31,13340000000.0
A,2013-01-31,15550000000.0
A,2013-04-30,14280000000.0
A,2013-07-31,14800000000.0
A,2014-01-31,19390000000.0
A,2014-04-30,18010000000.0
A,2014-07-31,18710000000.0
A,2014-12-01,13950000000.0
A,2015-01-31,12680000000.0
A,2015-04-30,13780000000.0
A,2015-08-31,12030000000.0
A,2015-12-01,13640000000.0
A,2016-01-31,12340000000.0
A,2016-04-30,13320000000.0
A,2016-08-31,15240000000.0
A,2016-12-01,13900000000.0
A,2017-02-28,16530000000.000002
A,2017-05-31,19390000000.0
A,2017-08-31,20830000000.0
A,2017-12-01,22190000000.0
A,2018-02-28,22120000000.0
A,2018-05-24,20520000000.0
A,2018-08-24,21030000000.0
A,2018-12-10,22490000000.0
A,2019-02-27,25220000000.0
A,2019-05-23,21390000000.0
A,2019-08-23,21520000000.0
A,2017-01-06,2760000000.0
A,2019-12-10,25720000000.0
A,2020-02-27,23980000000.0
A,2020-05-22,26240000000.0
A,2020-08-26,30620000000.0
A,2020-12-10,36460000000.0
A,2021-02-25,37200000000.0
A,2021-05-21,40150000000.0
A,2021-08-26,52550000000.0
A,2021-12-08,47210000000.0
A,2022-02-25,40130000000.0
A,2022-05-23,37630000000.0
A,2022-08-24,39570000000.0
A,2022-12-09,45280000000.0
A,2023-02-24,41750000000.0
A,2023-05-22,38130000000.0
A,2023-08-23,34860000000.0
A,2023-12-08,37270000000.0
A,2024-02-27,38840000000.0
A,2024-05-24,43960000000.0
A,2024-08-22,40290000000.0
A,2024-12-09,41130000000.0
