Company,Date,Market Cap
BAX,2010-01-31,34710000000.0
BAX,2010-04-30,28160000000.0
BAX,2010-07-28,25780000000.0
BAX,2010-10-28,29700000000.0
BAX,2011-01-31,28100000000.0
BAX,2011-04-28,32700000000.000004
BAX,2011-07-28,33360000000.0
BAX,2011-10-28,31110000000.0
BAX,2012-01-31,31090000000.0
BAX,2012-04-30,30510000000.0
BAX,2012-07-30,32270000000.000004
BAX,2012-10-26,33600000000.0
BAX,2013-01-31,37040000000.0
BAX,2013-04-26,37660000000.0
BAX,2013-07-29,39530000000.0
BAX,2013-10-28,36230000000.0
BAX,2014-01-31,37100000000.0
BAX,2014-04-25,39240000000.0
BAX,2014-07-25,41520000000.0
BAX,2014-10-27,37860000000.0
BAX,2015-01-31,38150000000.0
BAX,2015-04-30,37410000000.0
BAX,2015-07-31,21870000000.0
BAX,2015-10-30,20450000000.0
BAX,2016-01-31,20050000000.0
BAX,2016-04-29,24420000000.0
BAX,2016-07-29,26120000000.0
BAX,2016-10-31,25890000000.0
BAX,2017-01-31,25880000000.0
BAX,2017-04-30,30270000000.0
BAX,2017-07-28,33090000000.000004
BAX,2017-10-27,35780000000.0
BAX,2018-01-31,38910000000.0
BAX,2018-04-30,37220000000.0
BAX,2018-07-31,38710000000.0
BAX,2018-10-31,33259999999.999996
BAX,2019-01-31,37150000000.0
BAX,2019-04-30,38930000000.0
BAX,2019-06-25,41730000000.0
BAX,2020-02-29,42340000000.0
BAX,2020-04-21,45850000000.0
BAX,2020-07-21,44890000000.0
BAX,2020-10-22,41610000000.0
BAX,2021-01-29,38810000000.0
BAX,2021-04-22,44260000000.0
BAX,2021-07-22,40250000000.0
BAX,2021-10-21,40790000000.0
BAX,2022-01-31,42920000000.0
BAX,2022-04-21,39270000000.0
BAX,2022-07-21,33250000000.0
BAX,2022-10-20,27730000000.0
BAX,2023-01-31,23060000000.0
BAX,2023-04-20,21880000000.0
BAX,2023-07-20,24960000000.0
BAX,2023-10-26,16460000000.0
BAX,2024-01-31,19650000000.0
BAX,2024-04-25,20500000000.0
BAX,2024-07-31,18270000000.0
BAX,2024-10-31,18230000000.0
