Company,Date,Market Cap
BDX,2010-03-31,18370000000.0
BDX,2010-06-30,15700000000.0
BDX,2010-10-31,17370000000.0
BDX,2010-12-31,18690000000.0
BDX,2011-03-31,17420000000.0
BDX,2011-06-30,18740000000.0
BDX,2011-10-31,16809999999.999998
BDX,2011-12-31,15700000000.0
BDX,2012-03-31,15740000000.0
BDX,2012-06-30,14920000000.0
BDX,2012-10-31,14910000000.0
BDX,2012-12-31,15170000000.0
BDX,2013-03-31,18570000000.0
BDX,2013-06-30,19190000000.0
BDX,2013-10-31,20410000000.0
BDX,2013-12-31,21330000000.0
BDX,2014-03-31,22620000000.0
BDX,2014-06-30,22690000000.0
BDX,2014-10-31,24710000000.0
BDX,2014-12-31,26850000000.0
BDX,2015-03-31,30070000000.0
BDX,2015-06-30,29780000000.0
BDX,2015-10-31,30030000000.0
BDX,2015-12-31,32640000000.0
BDX,2016-03-31,32220000000.0
BDX,2016-06-30,36110000000.0
BDX,2016-10-31,35650000000.0
BDX,2016-12-31,35230000000.0
BDX,2017-03-31,39130000000.0
BDX,2017-06-30,44400000000.0
BDX,2017-10-31,47570000000.0
BDX,2017-12-31,56990000000.0
BDX,2018-03-31,57900000000.0
BDX,2018-06-30,64099999999.99999
BDX,2018-10-31,61830000000.0
BDX,2018-12-31,60630000000.0
BDX,2019-03-31,67360000000.0
BDX,2019-06-30,68030000000.0
BDX,2019-10-31,69240000000.0
BDX,2019-12-31,73750000000.0
BDX,2020-03-31,62450000000.0
BDX,2020-06-30,69360000000.0
BDX,2020-10-31,67030000000.0
BDX,2020-12-31,72700000000.0
BDX,2021-03-31,70710000000.0
BDX,2021-06-30,69840000000.0
BDX,2021-10-31,68050000000.0
BDX,2021-12-31,71610000000.0
BDX,2022-03-31,75830000000.0
BDX,2022-06-30,70310000000.0
BDX,2022-10-31,66870000000.00001
BDX,2022-12-31,72200000000.0
BDX,2023-03-31,70310000000.0
BDX,2023-06-30,76590000000.0
BDX,2023-10-31,73410000000.0
BDX,2023-12-31,70440000000.0
BDX,2024-03-31,71510000000.0
BDX,2024-06-30,67550000000.0
BDX,2024-10-31,67540000000.00001
BDX,2024-12-31,65140000000.0
