Company,Date,Market Cap
BMY,2010-02-01,41790000000.0
BMY,2010-03-31,45920000000.0
BMY,2010-06-30,42770000000.0
BMY,2010-09-30,46400000000.0
BMY,2011-02-01,43020000000.0
BMY,2011-03-31,45090000000.0
BMY,2011-06-30,49400000000.0
BMY,2011-09-30,53170000000.0
BMY,2012-02-01,54750000000.0
BMY,2012-03-31,57010000000.0
BMY,2012-06-30,60360000000.0
BMY,2012-09-30,55710000000.0
BMY,2013-02-01,60430000000.0
BMY,2013-03-31,67660000000.0
BMY,2013-06-30,73570000000.0
BMY,2013-09-30,76200000000.0
BMY,2014-03-31,86090000000.0
BMY,2014-06-30,80420000000.0
BMY,2014-09-30,84900000000.0
BMY,2015-02-02,100110000000.0
BMY,2015-03-31,107520000000.0
BMY,2015-06-30,110960000000.0
BMY,2015-09-30,98760000000.0
BMY,2016-02-01,101540000000.0
BMY,2016-03-31,106640000000.0
BMY,2016-06-30,122890000000.0
BMY,2016-09-30,90110000000.0
BMY,2017-02-01,82450000000.0
BMY,2017-03-31,89590000000.0
BMY,2017-06-30,91380000000.0
BMY,2017-09-30,104320000000.0
BMY,2018-02-01,102530000000.0
BMY,2018-03-31,103380000000.0
BMY,2018-06-30,90310000000.0
BMY,2018-09-30,101330000000.0
BMY,2019-02-01,81450000000.0
BMY,2019-03-31,78040000000.0
BMY,2019-06-30,74180000000.0
BMY,2019-09-30,82620000000.0
BMY,2020-02-03,143530000000.0
BMY,2020-03-31,126120000000.0
BMY,2020-06-30,132530000000.0
BMY,2020-09-30,136240000000.00002
BMY,2021-02-01,139380000000.0
BMY,2021-03-31,140960000000.0
BMY,2021-06-30,148480000000.0
BMY,2021-09-30,131340000000.0
BMY,2022-02-01,142100000000.0
BMY,2022-03-31,155490000000.0
BMY,2022-07-15,161530000000.0
BMY,2022-10-14,150150000000.0
BMY,2023-02-07,156400000000.0
BMY,2023-04-20,146070000000.0
BMY,2023-07-20,133220000000.0
BMY,2023-10-20,114880000000.0
BMY,2024-02-06,99610000000.0
BMY,2024-04-18,97910000000.0
BMY,2024-07-19,86450000000.0
BMY,2024-10-24,107330000000.0
