Company,Date,Market Cap
BSX,2010-01-31,13040000000.0
BSX,2010-03-31,10950000000.0
BSX,2010-06-30,8800000000.0
BSX,2010-10-31,9710000000.0
BSX,2011-01-31,10630000000.0
BSX,2011-03-31,10990000000.0
BSX,2011-07-31,10960000000.0
BSX,2011-10-31,8730000000.0
BSX,2012-01-31,8650000000.0
BSX,2012-03-31,9200000000.0
BSX,2012-04-30,8950000000.0
BSX,2012-06-30,8730000000.0
BSX,2012-07-31,7340000000.0
BSX,2012-10-31,7060000000.0
BSX,2013-01-31,10140000000.0
BSX,2013-04-30,10100000000.0
BSX,2013-07-31,14660000000.0
BSX,2013-10-31,15610000000.0
BSX,2014-01-31,17920000000.0
BSX,2014-04-30,16680000000.0
BSX,2014-07-31,16940000000.000002
BSX,2014-10-31,17620000000.0
BSX,2015-01-30,19700000000.0
BSX,2015-04-30,23890000000.0
BSX,2015-07-31,23300000000.0
BSX,2015-10-30,24590000000.0
BSX,2016-01-29,23640000000.0
BSX,2016-04-29,29740000000.0
BSX,2016-07-29,33040000000.0
BSX,2016-10-31,29960000000.0
BSX,2017-01-31,32810000000.000004
BSX,2017-04-28,36120000000.0
BSX,2017-07-31,36530000000.0
BSX,2017-10-31,38640000000.0
BSX,2018-01-31,38440000000.0
BSX,2018-04-25,40590000000.0
BSX,2018-07-25,47460000000.0
BSX,2018-10-23,49860000000.0
BSX,2019-01-31,52870000000.0
BSX,2019-04-23,49910000000.0
BSX,2019-07-23,59730000000.0
BSX,2001-10-31,141070000.0
BSX,2019-10-22,53220000000.0
BSX,2020-01-31,58460000000.0
BSX,2020-04-30,52450000000.0
BSX,2020-07-31,55180000000.0
BSX,2020-10-30,49070000000.0
BSX,2021-01-29,50220000000.0
BSX,2021-04-30,61950000000.0
BSX,2021-07-30,64930000000.00001
BSX,2021-10-29,61460000000.0
BSX,2022-01-31,61210000000.0
BSX,2022-04-29,60200000000.0
BSX,2022-07-29,58770000000.0
BSX,2022-10-31,61750000000.0
BSX,2023-01-31,66360000000.0
BSX,2023-07-31,75920000000.0
BSX,2023-10-31,74990000000.0
BSX,2024-01-31,92810000000.0
BSX,2024-04-29,106590000000.0
BSX,2024-07-30,109020000000.0
BSX,2024-10-29,124630000000.0
