Company,Date,Market Cap
CDMO,2017-07-10,205970000.0
CDMO,2017-08-25,146110000.0
CDMO,2017-09-06,140700000.0
CDMO,2017-12-06,240980000.0
CDMO,2018-03-07,134990000.0
CDMO,2018-07-10,266130000.0
CDMO,2018-09-05,394250000.0
CDMO,2018-12-03,302210000.0
CDMO,2019-03-04,224300000.0
CDMO,2019-06-14,222310000.0
CDMO,2019-08-31,388040000.0
CDMO,2019-08-30,12570000.0
CDMO,2019-11-30,310420000.0
CDMO,2020-03-02,371650000.0
CDMO,2020-06-19,318160000.0
CDMO,2020-08-24,463010000.0
CDMO,2020-11-23,507700000.0
CDMO,2021-03-01,1320000000.0
CDMO,2021-06-18,1410000000.0
CDMO,2021-12-01,1880000000.0
CDMO,2022-03-01,1220000000.0
CDMO,2022-06-17,824880000.0
CDMO,2022-08-22,1110000000.0
CDMO,2022-11-28,934020000.0
CDMO,2023-03-06,1520000000.0
CDMO,2023-06-09,1050000000.0
CDMO,2023-08-18,766190000.0
CDMO,2023-11-27,301020000.0
CDMO,2024-04-08,421510000.0
CDMO,2024-06-24,458420000.0
CDMO,2024-09-03,620730000.0
CDMO,2024-12-03,788030000.0
