Company,Date,Market Cap
CPRX,2010-03-26,13350000.0
CPRX,2010-05-14,23820000.0
CPRX,2010-08-10,22890000.0
CPRX,2010-11-12,21330000.0
CPRX,2011-03-25,24250000.0
CPRX,2011-05-12,25340000.0
CPRX,2011-08-12,29450000.0
CPRX,2011-11-11,24450000.0
CPRX,2012-03-23,26470000.0
CPRX,2012-05-11,22020000.0
CPRX,2012-08-10,43040000.0
CPRX,2012-11-09,15290000.0
CPRX,2013-04-01,19880000.0
CPRX,2013-05-10,39350000.0
CPRX,2013-08-09,53080000.0
CPRX,2013-11-08,77950000.0
CPRX,2014-03-14,117500000.0
CPRX,2014-05-13,122250000.0
CPRX,2014-08-08,149120000.0
CPRX,2014-11-07,188700000.0
CPRX,2015-03-10,336370000.0
CPRX,2015-05-07,287850000.0
CPRX,2015-08-07,366190000.0
CPRX,2015-11-06,266690000.0
CPRX,2016-03-11,101110000.0
CPRX,2016-05-06,50550000.0
CPRX,2016-08-05,66300000.0
CPRX,2016-11-04,80380000.0
CPRX,2017-03-10,92100000.0
CPRX,2017-05-05,141600000.0
CPRX,2017-08-04,242670000.0
CPRX,2017-11-03,254000000.0
CPRX,2018-03-09,331260000.0
CPRX,2018-05-04,278040000.0
CPRX,2018-08-03,296510000.0
CPRX,2018-11-02,326710000.0
CPRX,2019-03-14,307190000.0
CPRX,2019-05-06,628440000.0
CPRX,2019-08-02,520820000.00000006
CPRX,2016-07-26,8880000.0
CPRX,2019-11-08,522450000.00000006
CPRX,2020-03-12,302990000.0
CPRX,2020-04-24,519130000.0
CPRX,2020-05-07,500530000.0
CPRX,2020-08-06,428340000.0
CPRX,2020-11-05,345150000.0
CPRX,2021-03-11,391420000.0
CPRX,2021-04-28,488260000.0
CPRX,2021-05-06,482710000.0
CPRX,2021-08-05,605510000.0
CPRX,2021-11-05,651700000.0
CPRX,2021-12-31,695580000.0
CPRX,2022-04-27,800660000.0
CPRX,2022-05-06,742070000.0
CPRX,2022-08-05,1140000000.0
CPRX,2022-11-07,1570000000.0
CPRX,2023-03-13,1550000000.0
CPRX,2023-04-17,1920000000.0
CPRX,2023-08-07,1490000000.0
CPRX,2023-11-06,1380000000.0
CPRX,2024-02-26,1670000000.0
CPRX,2024-05-06,1770000000.0
CPRX,2024-08-05,1840000000.0
CPRX,2024-11-04,2590000000.0
