Company,Date,Market Cap
DGX,2010-01-31,9960000000.0
DGX,2010-04-21,10440000000.0
DGX,2010-07-19,8760000000.0
DGX,2010-10-18,8790000000.0
DGX,2011-01-31,9750000000.0
DGX,2011-04-30,8870000000.0
DGX,2011-07-21,9070000000.0
DGX,2011-10-27,8980000000.0
DGX,2012-01-31,9200000000.0
DGX,2012-04-19,9330000000.0
DGX,2012-07-19,9690000000.0
DGX,2012-10-19,9410000000.0
DGX,2013-01-31,9170000000.0
DGX,2013-04-19,8840000000.0
DGX,2013-07-19,8970000000.0
DGX,2013-10-18,8420000000.0
DGX,2014-01-31,7580000000.0
DGX,2014-04-24,8320000000.0
DGX,2014-07-24,8870000000.0
DGX,2014-10-22,8850000000.0
DGX,2015-01-31,10260000000.0
DGX,2015-04-23,10800000000.0
DGX,2015-07-23,10680000000.0
DGX,2015-10-22,8930000000.0
DGX,2016-01-31,9370000000.0
DGX,2016-04-14,10460000000.0
DGX,2016-07-14,11620000000.0
DGX,2016-10-13,11550000000.0
DGX,2017-01-31,12640000000.0
DGX,2017-04-13,13310000000.0
DGX,2017-07-13,14820000000.0
DGX,2017-10-12,12470000000.0
DGX,2018-01-31,14350000000.0
DGX,2018-04-13,13550000000.0
DGX,2018-07-13,15710000000.0
DGX,2018-10-16,13910000000.0
DGX,2019-01-31,11730000000.0
DGX,2019-04-12,12080000000.0
DGX,2019-07-12,13870000000.0
DGX,2019-10-16,14250000000.0
DGX,2020-01-31,14770000000.0
DGX,2020-04-15,11910000000.0
DGX,2020-07-15,16420000000.000002
DGX,2020-10-15,15920000000.0
DGX,2021-01-31,17240000000.0
DGX,2021-04-15,16870000000.000002
DGX,2021-07-15,16379999999.999998
DGX,2021-10-15,17480000000.0
DGX,2022-01-31,16129999999.999998
DGX,2022-07-15,15840000000.0
DGX,2022-10-14,14360000000.0
DGX,2023-01-31,16530000000.000002
DGX,2023-04-14,15940000000.0
DGX,2023-07-14,15760000000.0
DGX,2023-10-13,13770000000.0
DGX,2024-02-01,14080000000.0
DGX,2024-04-15,14290000000.0
DGX,2024-07-15,16100000000.000002
DGX,2024-10-15,16670000000.000002
