Company,Date,Market Cap
DNLI,2017-12-08,1770000000.0
DNLI,2018-03-12,1910000000.0
DNLI,2018-05-04,1790000000.0
DNLI,2018-08-02,1330000000.0
DNLI,2018-11-02,1610000000.0
DNLI,2019-03-05,2069999999.9999998
DNLI,2019-05-01,2270000000.0
DNLI,2019-07-31,2049999999.9999998
DNLI,2019-10-30,1500000000.0
DNLI,2020-02-19,2760000000.0
DNLI,2020-04-29,2450000000.0
DNLI,2020-08-03,2570000000.0
DNLI,2020-10-28,5530000000.0
DNLI,2021-02-17,7600000000.0
DNLI,2021-04-26,7290000000.0
DNLI,2021-07-28,6270000000.0
DNLI,2021-10-29,5900000000.0
DNLI,2022-02-18,4000000000.0
DNLI,2022-04-28,3080000000.0
DNLI,2022-08-01,4040000000.0
DNLI,2022-10-27,3770000000.0
DNLI,2023-02-21,3930000000.0
DNLI,2023-05-01,3530000000.0
DNLI,2023-07-31,3910000000.0
DNLI,2023-10-30,2540000000.0
DNLI,2024-02-20,2300000000.0
DNLI,2024-04-30,2200000000.0
DNLI,2024-07-25,3450000000.0
DNLI,2024-10-30,699340000.0
