Company,Date,Market Cap
EBS,2010-02-26,452400000.0
EBS,2010-04-30,505340000.0
EBS,2010-07-30,581120000.0
EBS,2010-10-29,627390000.0
EBS,2011-03-04,742600000.0
EBS,2011-04-29,826620000.0
EBS,2011-07-29,740320000.0
EBS,2011-10-28,689220000.0
EBS,2012-02-29,549950000.0
EBS,2012-03-19,566110000.0
EBS,2012-04-30,508420000.0
EBS,2012-06-30,548490000.0
EBS,2012-07-31,528940000.00000006
EBS,2012-10-26,483630000.0
EBS,2013-02-28,556490000.0
EBS,2013-04-30,554100000.0
EBS,2013-07-31,641610000.0
EBS,2013-10-31,710250000.0
EBS,2014-02-28,909730000.0
EBS,2014-04-30,986160000.0
EBS,2014-07-31,824500000.0
EBS,2014-10-31,849430000.0
EBS,2015-02-27,1140000000.0
EBS,2015-04-30,1140000000.0
EBS,2015-07-31,1270000000.0
EBS,2015-10-30,1250000000.0
EBS,2016-02-19,1490000000.0
EBS,2016-04-29,1540000000.0
EBS,2016-07-29,1350000000.0
EBS,2016-10-31,1080000000.0
EBS,2017-02-17,1240000000.0
EBS,2017-04-28,1230000000.0
EBS,2017-07-28,1500000000.0
EBS,2017-10-27,1680000000.0
EBS,2018-02-16,2470000000.0
EBS,2018-04-27,2610000000.0
EBS,2018-07-27,2680000000.0
EBS,2018-10-26,3080000000.0
EBS,2019-02-15,3390000000.0
EBS,2019-04-26,2750000000.0
EBS,2019-07-26,2290000000.0
EBS,2019-10-30,2990000000.0
EBS,2020-02-14,3280000000.0
EBS,2020-04-24,3840000000.0
EBS,2020-07-24,4760000000.0
EBS,2020-10-30,4770000000.0
EBS,2021-02-12,6670000000.0
EBS,2021-04-23,3320000000.0
EBS,2021-07-23,3460000000.0
EBS,2021-10-29,2560000000.0
EBS,2022-02-18,2109999999.9999998
EBS,2022-04-22,1870000000.0
EBS,2022-07-26,1710000000.0
EBS,2022-11-01,1040000000.0
EBS,2023-02-22,700960000.0
EBS,2023-05-02,417200000.0
EBS,2023-08-01,409790000.0
EBS,2023-12-01,124000000.0
EBS,2024-02-28,167050000.0
EBS,2024-04-25,102180000.0
EBS,2024-07-30,628000000.0
EBS,2024-10-30,520169999.99999994
