Company,Date,Market Cap
EXAS,2010-03-11,174500000.0
EXAS,2010-05-10,165210000.0
EXAS,2010-08-06,171580000.0
EXAS,2010-10-26,360890000.0
EXAS,2011-03-11,277660000.0
EXAS,2011-05-06,391640000.0
EXAS,2011-08-05,367430000.0
EXAS,2011-11-04,425030000.0
EXAS,2012-03-06,513780000.0
EXAS,2012-05-02,585130000.0
EXAS,2012-07-26,574670000.0
EXAS,2012-10-30,600050000.0
EXAS,2013-02-26,696020000.0
EXAS,2013-04-30,598650000.0
EXAS,2013-07-31,969990000.0
EXAS,2013-10-30,780090000.0
EXAS,2014-02-26,1020000000.0
EXAS,2014-05-01,1040000000.0
EXAS,2014-07-30,1340000000.0
EXAS,2014-10-30,2089999999.9999998
EXAS,2015-02-26,2069999999.9999998
EXAS,2015-05-01,1960000000.0
EXAS,2015-07-29,2360000000.0
EXAS,2015-10-28,794790000.0
EXAS,2016-02-22,630500000.0
EXAS,2016-05-02,683570000.0
EXAS,2016-07-25,1230000000.0
EXAS,2016-10-25,2120000000.0
EXAS,2017-02-20,2200000000.0
EXAS,2017-04-26,2650000000.0
EXAS,2017-07-24,4700000000.0
EXAS,2017-10-27,6130000000.0
EXAS,2018-02-20,5810000000.0
EXAS,2018-04-25,5520000000.0
EXAS,2018-07-31,7170000000.0
EXAS,2018-10-29,7560000000.0
EXAS,2019-02-20,10520000000.0
EXAS,2019-04-29,12670000000.0
EXAS,2019-07-29,15220000000.0
EXAS,2019-10-28,12060000000.0
EXAS,2020-02-20,15190000000.0
EXAS,2020-05-04,11590000000.0
EXAS,2020-07-30,14700000000.0
EXAS,2020-10-26,16030000000.000002
EXAS,2021-02-15,26210000000.0
EXAS,2021-05-03,21530000000.0
EXAS,2021-07-27,19250000000.0
EXAS,2021-11-01,16790000000.0
EXAS,2022-02-21,12910000000.0
EXAS,2022-04-25,11020000000.0
EXAS,2022-08-01,8350000000.0
EXAS,2022-11-02,5870000000.0
EXAS,2023-02-20,11310000000.0
EXAS,2023-05-08,12370000000.0
EXAS,2023-07-31,17620000000.0
EXAS,2023-10-31,11140000000.0
EXAS,2024-02-21,11490000000.0
EXAS,2024-05-07,11330000000.0
EXAS,2024-07-30,8610000000.0
EXAS,2024-11-04,13160000000.0
