Company,Date,Market Cap
HUM,2010-01-31,8279999999.999999
HUM,2010-03-31,7960000000.0
HUM,2010-06-30,7730000000.0
HUM,2010-09-30,8460000000.000001
HUM,2011-01-31,9770000000.0
HUM,2011-03-31,11780000000.0
HUM,2011-06-30,13440000000.0
HUM,2011-09-30,11890000000.0
HUM,2012-01-31,14600000000.0
HUM,2012-03-31,15090000000.0
HUM,2012-06-30,12520000000.0
HUM,2012-09-30,11100000000.0
HUM,2013-01-31,11780000000.0
HUM,2013-03-31,10880000000.0
HUM,2013-06-30,13200000000.0
HUM,2013-09-30,14550000000.0
HUM,2014-01-31,14990000000.0
HUM,2014-03-31,17450000000.0
HUM,2014-06-30,19700000000.0
HUM,2014-09-30,19980000000.0
HUM,2015-01-31,21910000000.0
HUM,2015-03-31,26660000000.0
HUM,2015-06-30,28340000000.0
HUM,2015-09-30,26530000000.0
HUM,2016-01-31,24140000000.0
HUM,2016-03-31,27270000000.0
HUM,2016-06-30,26810000000.0
HUM,2016-09-30,26370000000.0
HUM,2017-01-31,29640000000.0
HUM,2017-03-31,29750000000.0
HUM,2017-06-30,34770000000.0
HUM,2017-09-30,34810000000.0
HUM,2018-01-31,38800000000.0
HUM,2018-03-31,37010000000.0
HUM,2018-06-30,41000000000.0
HUM,2018-09-30,46440000000.0
HUM,2019-01-31,41890000000.0
HUM,2019-03-31,35920000000.0
HUM,2019-06-30,35840000000.0
HUM,2019-07-29,15290000000.0
HUM,2019-09-30,33860000000.0
HUM,2020-01-31,44420000000.0
HUM,2020-03-31,41520000000.0
HUM,2020-06-30,51300000000.0
HUM,2020-09-30,54770000000.0
HUM,2021-01-31,49370000000.0
HUM,2021-03-31,54090000000.0
HUM,2021-06-30,56890000000.0
HUM,2021-09-30,50020000000.0
HUM,2022-01-31,49700000000.0
HUM,2022-03-31,55050000000.0
HUM,2022-06-30,59240000000.0
HUM,2022-09-30,61430000000.0
HUM,2023-01-31,63950000000.0
HUM,2023-03-31,60660000000.0
HUM,2024-01-31,45610000000.0
HUM,2024-03-31,41780000000.0
HUM,2024-06-30,44990000000.0
HUM,2024-09-30,38140000000.0
