Company,Date,Market Cap
IDYA,2019-05-23,217970000.0
IDYA,2019-08-01,143580000.0
IDYA,2019-08-07,120650000.0
IDYA,2019-11-01,124430000.0
IDYA,2020-03-13,81990000.0
IDYA,2020-05-05,131169999.99999999
IDYA,2020-08-03,333830000.0
IDYA,2020-11-06,385170000.0
IDYA,2021-03-15,766820000.0
IDYA,2021-05-03,682140000.0
IDYA,2021-08-02,901310000.0
IDYA,2021-11-08,909690000.0
IDYA,2022-03-14,470090000.0
IDYA,2022-05-05,372100000.0
IDYA,2022-08-09,582510000.0
IDYA,2022-11-03,856420000.0
IDYA,2023-03-03,836130000.0
IDYA,2023-05-05,1090000000.0
IDYA,2023-08-04,1260000000.0
IDYA,2023-11-03,1870000000.0
IDYA,2024-05-03,3190000000.0
IDYA,2024-08-02,3390000000.0
IDYA,2024-11-01,2470000000.0
