Company,Date,Market Cap
IQV,2013-07-25,5610000000.0
IQV,2013-10-24,5740000000.0
IQV,2014-02-06,6360000000.0
IQV,2014-02-18,6990000000.0
IQV,2014-04-24,6500000000.0
IQV,2014-07-24,6980000000.0
IQV,2014-10-23,7280000000.0
IQV,2015-02-05,7610000000.0
IQV,2015-04-22,8310000000.000001
IQV,2015-07-22,9350000000.0
IQV,2015-10-21,8470000000.000001
IQV,2016-02-04,7110000000.0
IQV,2016-04-26,8390000000.000001
IQV,2016-07-20,8680000000.0
IQV,2016-10-26,18000000000.0
IQV,2017-02-09,18590000000.0
IQV,2017-05-03,18180000000.0
IQV,2017-07-31,19610000000.0
IQV,2017-10-23,21590000000.0
IQV,2018-02-12,20540000000.0
IQV,2018-04-30,19890000000.0
IQV,2018-07-20,22510000000.0
IQV,2018-10-19,25670000000.0
IQV,2019-02-12,26020000000.0
IQV,2019-04-26,27360000000.0
IQV,2019-07-22,30610000000.0
IQV,2019-10-21,27770000000.0
IQV,2020-02-07,30200000000.0
IQV,2020-04-17,25130000000.0
IQV,2020-07-17,29470000000.0
IQV,2020-10-16,31550000000.0
IQV,2021-02-01,34510000000.0
IQV,2021-04-16,41310000000.0
IQV,2021-07-23,47730000000.0
IQV,2021-10-20,48050000000.0
IQV,2022-02-07,46840000000.0
IQV,2022-04-15,45140000000.0
IQV,2022-07-15,40860000000.0
IQV,2022-10-21,33090000000.000004
IQV,2023-02-06,43150000000.0
IQV,2023-04-21,37540000000.0
IQV,2023-07-25,42410000000.0
IQV,2023-10-19,34080000000.0
IQV,2024-02-05,38240000000.0
IQV,2024-04-18,41390000000.0
IQV,2024-07-16,42470000000.0
IQV,2024-10-24,38430000000.0
