Company,Date,Market Cap
IRWD,2010-02-03,194170000.0
IRWD,2010-03-15,269100000.0
IRWD,2010-07-30,226330000.0
IRWD,2010-11-01,492140000.0
IRWD,2011-03-15,585290000.0
IRWD,2011-05-02,726150000.0
IRWD,2011-08-01,869680000.0
IRWD,2011-11-01,801130000.0
IRWD,2012-02-15,1130000000.0
IRWD,2012-05-01,976260000.0
IRWD,2012-07-25,973920000.0
IRWD,2012-10-29,927560000.0
IRWD,2013-02-11,1050000000.0
IRWD,2013-04-09,1450000000.0
IRWD,2013-07-30,1160000000.0
IRWD,2013-10-10,1040000000.0
IRWD,2014-01-28,1470000000.0
IRWD,2014-04-15,1230000000.0
IRWD,2014-07-25,1860000000.0
IRWD,2014-10-31,1730000000.0
IRWD,2015-02-05,1940000000.0
IRWD,2015-04-30,1720000000.0
IRWD,2015-07-31,1320000000.0
IRWD,2015-10-30,1440000000.0
IRWD,2016-02-12,1070000000.0000001
IRWD,2016-05-02,1380000000.0
IRWD,2016-08-01,1810000000.0
IRWD,2016-11-03,1660000000.0
IRWD,2017-02-15,2290000000.0
IRWD,2017-05-03,2100000000.0
IRWD,2017-08-01,2360000000.0
IRWD,2017-10-31,2080000000.0
IRWD,2018-02-12,1900000000.0
IRWD,2018-04-20,2380000000.0
IRWD,2018-04-27,2580000000.0
IRWD,2018-07-31,2680000000.0
IRWD,2018-11-01,1900000000.0
IRWD,2019-02-12,2040000000.0
IRWD,2019-04-30,1850000000.0
IRWD,2019-07-26,1630000000.0
IRWD,2018-11-06,20140000.0
IRWD,2019-10-25,1430000000.0
IRWD,2020-02-10,1950000000.0
IRWD,2020-05-01,1540000000.0
IRWD,2020-08-03,1570000000.0
IRWD,2020-11-02,1560000000.0
IRWD,2021-02-10,1660000000.0
IRWD,2021-04-30,1790000000.0
IRWD,2021-07-31,2160000000.0
IRWD,2021-10-31,2089999999.9999998
IRWD,2022-01-31,1780000000.0
IRWD,2022-04-30,1850000000.0
IRWD,2022-07-31,1750000000.0
IRWD,2022-10-31,1680000000.0
IRWD,2023-01-31,1780000000.0
IRWD,2023-04-30,1620000000.0
IRWD,2023-07-31,1730000000.0
IRWD,2023-10-31,1400000000.0
IRWD,2024-04-30,1230000000.0
IRWD,2024-07-31,1090000000.0
IRWD,2024-10-31,632110000.0
