Company,Date,Market Cap
JNJ,2010-02-08,171640000000.0
JNJ,2010-07-30,160010000000.0
JNJ,2010-10-29,175050000000.0
JNJ,2011-02-15,165810000000.0
JNJ,2011-04-29,180150000000.0
JNJ,2011-07-29,177550000000.0
JNJ,2011-10-28,179140000000.0
JNJ,2012-02-17,178400000000.0
JNJ,2012-04-27,178070000000.0
JNJ,2012-07-27,191670000000.0
JNJ,2012-10-26,196480000000.0
JNJ,2013-02-19,215130000000.0
JNJ,2013-04-26,239090000000.0
JNJ,2013-07-26,261600000000.00003
JNJ,2013-10-25,259829999999.99997
JNJ,2014-02-18,260740000000.0
JNJ,2014-04-25,282320000000.0
JNJ,2014-07-25,287980000000.0
JNJ,2014-10-24,288670000000.0
JNJ,2015-02-17,279270000000.0
JNJ,2015-04-24,280300000000.0
JNJ,2015-07-24,274560000000.0
JNJ,2015-10-23,277550000000.0
JNJ,2016-02-19,287410000000.0
JNJ,2016-04-29,308290000000.0
JNJ,2016-07-29,342610000000.0
JNJ,2016-10-28,313760000000.0
JNJ,2017-02-23,330210000000.0
JNJ,2017-04-28,332610000000.0
JNJ,2017-07-28,353890000000.0
JNJ,2017-10-27,380890000000.0
JNJ,2018-02-16,357230000000.0
JNJ,2018-04-26,343340000000.0
JNJ,2018-07-27,352920000000.0
JNJ,2018-10-26,367350000000.0
JNJ,2019-02-15,363200000000.0
JNJ,2019-04-25,370780000000.0
JNJ,2019-07-24,342510000000.0
JNJ,2019-10-22,340040000000.0
JNJ,2020-02-10,400110000000.0
JNJ,2020-04-22,403070000000.0
JNJ,2020-07-20,393870000000.0
JNJ,2020-10-19,379930000000.0
JNJ,2021-02-16,433920000000.0
JNJ,2021-04-23,435880000000.0
JNJ,2021-07-23,452230000000.0
JNJ,2021-10-22,431010000000.0
JNJ,2022-02-10,445450000000.0
JNJ,2022-04-22,477700000000.0
JNJ,2022-07-22,452530000000.0
JNJ,2022-10-21,283510000000.0
JNJ,2023-02-10,422290000000.0
JNJ,2023-04-21,422790000000.0
JNJ,2023-07-24,444630000000.0
JNJ,2023-10-23,364440000000.0
JNJ,2024-04-25,353350000000.0
JNJ,2024-07-19,372380000000.0
JNJ,2024-10-16,395520000000.0
