Company,Date,Market Cap
KALV,2017-02-28,71200000.0
KALV,2017-08-31,64200000.0
KALV,2017-11-30,106870000.0
KALV,2018-03-01,111740000.0
KALV,2018-07-16,93310000.0
KALV,2018-09-10,290680000.0
KALV,2018-12-10,406350000.0
KALV,2019-03-10,374090000.0
KALV,2019-07-01,376800000.0
KALV,2019-08-30,278280000.0
KALV,2019-11-30,258240000.0
KALV,2020-03-02,255730000.0
KALV,2020-06-24,201140000.0
KALV,2020-09-04,233690000.0
KALV,2020-12-03,332470000.0
KALV,2021-03-04,767170000.0
KALV,2021-07-02,572790000.0
KALV,2021-09-07,500980000.0
KALV,2021-12-07,322760000.0
KALV,2022-03-08,395880000.0
KALV,2022-07-02,243250000.0
KALV,2022-09-01,414050000.0
KALV,2022-12-01,131460000.00000001
KALV,2023-03-01,259690000.0
KALV,2023-06-28,313580000.0
KALV,2023-08-31,373280000.0
KALV,2023-11-30,291680000.0
KALV,2024-02-29,575870000.0
KALV,2024-06-25,493600000.0
KALV,2024-08-26,564390000.0
KALV,2024-12-04,467490000.0
