Company,Date,Market Cap
MDGL,2016-07-25,115040000.0
MDGL,2016-11-11,186740000.0
MDGL,2017-03-24,185190000.0
MDGL,2017-05-05,194440000.0
MDGL,2017-08-04,199560000.0
MDGL,2017-11-03,587420000.0
MDGL,2018-03-08,1860000000.0
MDGL,2018-05-03,1600000000.0
MDGL,2018-08-02,3860000000.0
MDGL,2018-11-01,3100000000.0
MDGL,2019-02-21,1940000000.0
MDGL,2019-05-02,1630000000.0
MDGL,2019-08-01,1360000000.0
MDGL,2019-11-01,1510000000.0
MDGL,2020-02-21,1430000000.0
MDGL,2020-05-04,1350000000.0
MDGL,2020-07-31,1580000000.0
MDGL,2020-10-30,1970000000.0
MDGL,2021-02-19,1950000000.0
MDGL,2021-04-30,2260000000.0
MDGL,2021-07-30,1450000000.0
MDGL,2021-11-02,1450000000.0
MDGL,2022-02-21,1460000000.0
MDGL,2022-05-05,1140000000.0
MDGL,2022-08-01,1040000000.0
MDGL,2022-11-01,1260000000.0
MDGL,2023-02-20,5500000000.0
MDGL,2023-05-05,5600000000.0
MDGL,2023-08-03,3570000000.0
MDGL,2023-11-01,2690000000.0
MDGL,2024-02-16,4640000000.0
MDGL,2024-05-03,4900000000.0
MDGL,2024-08-02,5980000000.0
MDGL,2024-10-28,4730000000.0
