Company,Date,Market Cap
MOH,2010-03-05,586730000.0
MOH,2010-04-30,750540000.0
MOH,2010-07-30,770170000.0
MOH,2010-10-29,783790000.0
MOH,2011-03-02,1100000000.0
MOH,2011-04-21,1260000000.0
MOH,2011-05-23,1190000000.0
MOH,2011-07-21,1230000000.0
MOH,2011-10-21,757190000.0
MOH,2012-02-24,1590000000.0
MOH,2012-04-30,1190000000.0
MOH,2012-07-27,1160000000.0
MOH,2012-10-19,1050000000.0
MOH,2013-02-22,1480000000.0
MOH,2013-04-19,1490000000.0
MOH,2013-07-19,1820000000.0
MOH,2013-10-28,1560000000.0
MOH,2014-02-20,1680000000.0
MOH,2014-04-25,1690000000.0
MOH,2014-07-25,2029999999.9999998
MOH,2014-10-24,2180000000.0
MOH,2015-02-20,3100000000.0
MOH,2015-05-01,2990000000.0
MOH,2015-07-24,3890000000.0
MOH,2015-10-23,3570000000.0
MOH,2016-02-23,3500000000.0
MOH,2016-04-25,3710000000.0
MOH,2016-07-22,3010000000.0
MOH,2016-10-21,3380000000.0
MOH,2017-02-24,2770000000.0
MOH,2017-04-28,2840000000.0
MOH,2017-07-28,4000000000.0
MOH,2017-10-27,3830000000.0
MOH,2018-02-23,4360000000.0
MOH,2018-04-25,5160000000.0
MOH,2018-07-27,6460000000.0
MOH,2018-10-26,7960000000.0
MOH,2019-02-15,8449999999.999999
MOH,2019-04-26,8050000000.000001
MOH,2019-07-26,8770000000.0
MOH,2019-10-25,7640000000.0
MOH,2020-02-07,7780000000.0
MOH,2020-04-24,9960000000.0
MOH,2020-07-24,10930000000.0
MOH,2020-10-23,12600000000.0
MOH,2021-02-12,12540000000.0
MOH,2021-04-23,14920000000.0
MOH,2021-07-23,15250000000.0
MOH,2021-10-22,17400000000.0
MOH,2022-02-11,17710000000.0
MOH,2022-04-22,19090000000.0
MOH,2022-07-22,17530000000.0
MOH,2022-10-21,21050000000.0
MOH,2023-02-10,17620000000.0
MOH,2023-04-21,16059999999.999998
MOH,2023-07-21,18570000000.0
MOH,2023-10-20,20340000000.0
MOH,2024-02-09,22700000000.0
MOH,2024-04-19,21540000000.0
MOH,2024-07-19,16899999999.999998
MOH,2024-10-18,16570000000.0
