Company,Date,Market Cap
MRK,2010-01-29,118940000000.0
MRK,2010-04-30,109260000000.0
MRK,2010-07-30,105920000000.0
MRK,2010-10-29,111870000000.0
MRK,2011-01-31,102270000000.0
MRK,2011-04-29,110960000000.0
MRK,2011-07-29,105150000000.0
MRK,2011-10-31,105150000000.0
MRK,2012-01-31,116490000000.0
MRK,2012-04-30,119350000000.0
MRK,2012-07-31,134530000000.0
MRK,2012-10-31,138720000000.0
MRK,2013-01-31,130720000000.0
MRK,2013-04-30,141920000000.0
MRK,2013-07-31,140960000000.0
MRK,2013-10-31,131750000000.0
MRK,2014-01-31,155760000000.0
MRK,2014-04-30,171130000000.0
MRK,2014-07-31,163670000000.0
MRK,2014-10-31,165180000000.0
MRK,2015-01-31,171090000000.0
MRK,2015-04-30,168270000000.0
MRK,2015-07-31,166070000000.0
MRK,2015-10-31,152700000000.0
MRK,2016-01-31,140620000000.0
MRK,2016-04-30,151800000000.0
MRK,2016-07-31,162210000000.0
MRK,2016-10-31,161900000000.0
MRK,2017-01-31,170200000000.0
MRK,2017-04-30,170480000000.0
MRK,2017-07-31,174220000000.0
MRK,2017-10-31,150090000000.0
MRK,2018-01-31,159750000000.0
MRK,2018-04-30,158380000000.0
MRK,2018-07-31,175180000000.0
MRK,2018-10-31,191410000000.0
MRK,2019-01-31,192120000000.0
MRK,2019-04-30,202650000000.0
MRK,2019-07-31,212490000000.0
MRK,2019-07-30,108290000000.0
MRK,2019-10-31,220630000000.0
MRK,2020-01-31,216700000000.0
MRK,2020-04-30,200260000000.0
MRK,2020-07-31,202950000000.0
MRK,2020-10-31,190280000000.0
MRK,2021-01-31,195010000000.0
MRK,2021-04-30,188640000000.0
MRK,2021-07-31,194590000000.0
MRK,2021-10-31,222410000000.0
MRK,2022-01-31,205960000000.0
MRK,2022-04-30,224280000000.0
MRK,2022-07-31,226320000000.0
MRK,2022-10-31,178070000000.0
MRK,2023-01-31,272670000000.00003
MRK,2023-04-30,293000000000.0
MRK,2023-10-31,260240000000.0
MRK,2024-01-31,305890000000.0
MRK,2024-04-30,327290000000.0
MRK,2024-07-31,286760000000.0
MRK,2024-10-31,258829999999.99997
