Company,Date,Market Cap
MTD,2010-02-01,3300000000.0
MTD,2010-03-31,3670000000.0
MTD,2010-06-30,3730000000.0
MTD,2010-09-30,4080000000.0
MTD,2011-02-01,4940000000.0
MTD,2011-03-31,5530000000.0
MTD,2011-06-30,5380000000.0
MTD,2011-09-30,4420000000.0
MTD,2012-02-01,5640000000.0
MTD,2012-03-31,5810000000.0
MTD,2012-06-30,4840000000.0
MTD,2012-09-30,5230000000.0
MTD,2013-01-31,6440000000.0
MTD,2013-03-31,6440000000.0
MTD,2013-06-30,6020000000.0
MTD,2013-09-30,7130000000.0
MTD,2014-01-31,7240000000.0
MTD,2014-03-31,6890000000.0
MTD,2014-06-30,7310000000.0
MTD,2014-09-30,7310000000.0
MTD,2015-01-31,8550000000.000001
MTD,2015-03-31,9190000.0
MTD,2015-06-30,9460000000.0
MTD,2015-09-30,7790000000.0
MTD,2016-01-29,8439999999.999999
MTD,2016-03-31,9230000000.0
MTD,2016-06-30,9670000000.0
MTD,2016-09-30,11010000000.0
MTD,2017-01-30,10950000000.0
MTD,2017-03-31,12370000000.0
MTD,2017-06-30,15110000000.0
MTD,2017-09-30,16020000000.0
MTD,2018-02-05,16190000000.000002
MTD,2018-03-31,14600000000.0
MTD,2018-06-30,14590000000.0
MTD,2018-09-30,15250000000.0
MTD,2019-02-01,15940000000.0
MTD,2019-03-31,17930000000.0
MTD,2019-06-30,20670000000.0
MTD,2019-09-30,17160000000.0
MTD,2020-01-31,18210000000.0
MTD,2020-03-31,16510000000.000002
MTD,2020-06-30,19310000000.0
MTD,2020-09-30,22980000000.0
MTD,2021-01-25,28870000000.0
MTD,2021-03-31,26890000000.0
MTD,2021-06-30,32020000000.000004
MTD,2021-09-30,31660000000.0
MTD,2022-01-27,31850000000.0
MTD,2022-03-31,31140000000.0
MTD,2022-06-30,25850000000.0
MTD,2022-09-30,24170000000.0
MTD,2023-01-26,33680000000.0
MTD,2023-03-31,33700000000.000004
MTD,2023-06-30,28680000000.0
MTD,2023-09-30,24030000000.0
MTD,2024-01-25,25830000000.0
MTD,2024-03-31,28430000000.0
MTD,2024-06-30,29660000000.0
MTD,2024-09-30,31650000000.0
