Company,Date,Market Cap
PRAX,2020-10-16,949360000.0
PRAX,2020-11-13,1290000000.0
PRAX,2021-03-01,1600000000.0
PRAX,2021-04-30,1190000000.0
PRAX,2021-08-06,659960000.0
PRAX,2021-10-29,933000000.0
PRAX,2022-02-18,579060000.0
PRAX,2022-05-06,367740000.0
PRAX,2022-08-05,149490000.0
PRAX,2022-11-04,98480000.0
PRAX,2023-02-03,243100000.0
PRAX,2023-05-05,67690000.0
PRAX,2023-08-04,123400000.0
PRAX,2023-11-03,143980000.0
PRAX,2024-03-01,655830000.0
PRAX,2024-05-09,856930000.0
PRAX,2024-08-09,902060000.0
PRAX,2024-11-01,1270000000.0
