Company,Date,Market Cap
PRTA,2013-02-28,109080000.0
PRTA,2013-04-30,146030000.0
PRTA,2013-07-31,307090000.0
PRTA,2013-10-31,525419999.99999994
PRTA,2014-03-03,817640000.0
PRTA,2014-04-25,845090000.0
PRTA,2014-07-25,498790000.0
PRTA,2014-10-24,572330000.0
PRTA,2015-02-27,728280000.0
PRTA,2015-04-24,1170000000.0
PRTA,2015-07-24,2009999999.9999998
PRTA,2015-10-23,1550000000.0
PRTA,2016-02-12,1080000000.0
PRTA,2016-04-22,1650000000.0
PRTA,2016-07-22,1830000000.0
PRTA,2016-10-21,1880000000.0
PRTA,2017-02-10,1820000000.0
PRTA,2017-04-21,2009999999.9999998
PRTA,2017-07-21,2570000000.0
PRTA,2017-10-20,2230000000.0
PRTA,2018-02-09,1090000000.0
PRTA,2018-04-20,1470000000.0
PRTA,2018-07-20,591580000.0
PRTA,2018-10-26,495110000.0
PRTA,2019-03-11,522610000.0
PRTA,2019-04-30,414590000.0
PRTA,2019-07-19,393380000.0
PRTA,2019-10-25,342710000.0
PRTA,2020-02-21,473950000.0
PRTA,2020-05-01,453790000.0
PRTA,2020-07-31,488520000.0
PRTA,2020-10-30,435540000.0
PRTA,2021-02-18,949700000.0
PRTA,2021-05-04,1090000000.0
PRTA,2021-07-29,2240000000.0
PRTA,2021-10-28,2640000000.0
PRTA,2022-02-18,1570000000.0
PRTA,2022-04-28,1400000000.0
PRTA,2022-07-29,1460000000.0
PRTA,2022-10-26,2920000000.0
PRTA,2023-02-17,2810000000.0
PRTA,2023-04-28,2780000000.0
PRTA,2023-07-28,3570000000.0
PRTA,2023-10-26,1820000000.0
PRTA,2024-02-15,1530000000.0
PRTA,2024-05-01,1150000000.0
PRTA,2024-08-01,1200000000.0
PRTA,2024-11-06,987390000.0
