Company,Date,Market Cap
REPL,2018-07-20,467510000.0
REPL,2018-08-29,648110000.0
REPL,2018-11-12,448060000.0
REPL,2019-02-12,483250000.0
REPL,2019-06-21,427460000.0
REPL,2019-07-17,430030000.0
REPL,2019-08-14,318250000.0
REPL,2019-08-06,87260000.0
REPL,2019-11-08,541580000.0
REPL,2020-02-10,622980000.0
REPL,2020-05-29,690810000.0
REPL,2020-08-04,864180000.0
REPL,2020-11-02,1930000000.0
REPL,2021-02-01,1830000000.0
REPL,2021-05-17,1650000000.0
REPL,2021-08-02,1560000000.0
REPL,2021-11-02,1480000000.0
REPL,2022-01-31,936170000.0
REPL,2022-05-16,712990000.0
REPL,2022-08-01,925980000.0
REPL,2022-10-31,913220000.0
REPL,2023-02-06,1600000000.0
REPL,2023-05-15,1080000000.0
REPL,2023-07-31,1240000000.0
REPL,2023-11-03,838640000.0
REPL,2024-02-05,432780000.0
REPL,2024-05-13,404730000.0
REPL,2024-08-05,664080000.0
REPL,2024-11-08,851110000.0
