Company,Date,Market Cap
RLAY,2020-07-16,2860000000.0
RLAY,2020-08-27,3270000000.0
RLAY,2020-11-10,3940000000.0
RLAY,2021-03-23,3300000000.0
RLAY,2021-05-11,2620000000.0
RLAY,2021-08-10,3060000000.0
RLAY,2021-11-08,3840000000.0
RLAY,2022-02-18,2280000000.0
RLAY,2022-04-29,2590000000.0
RLAY,2022-07-29,2069999999.9999998
RLAY,2022-10-28,2720000000.0
RLAY,2023-02-17,2240000000.0
RLAY,2023-04-28,1380000000.0
RLAY,2023-08-04,1370000000.0
RLAY,2023-10-27,747010000.0
RLAY,2024-02-16,1420000000.0
RLAY,2024-04-26,845560000.0
RLAY,2024-08-02,1020000000.0
RLAY,2024-11-01,977520000.0
