Company,Date,Market Cap
RNA,2020-06-12,882100000.0
RNA,2020-07-20,876250000.0
RNA,2020-10-20,1020000000.0
RNA,2021-02-26,906920000.0
RNA,2021-04-26,944900000.0
RNA,2021-07-21,893530000.0
RNA,2021-10-20,1020000000.0
RNA,2022-02-07,803230000.0
RNA,2022-04-21,848470000.0
RNA,2022-10-25,767380000.0
RNA,2023-02-14,1670000000.0
RNA,2023-04-24,1190000000.0
RNA,2023-07-24,722440000.0
RNA,2023-10-23,373470000.0
RNA,2024-02-15,1080000000.0
RNA,2024-04-22,2310000000.0
RNA,2024-07-22,5080000000.0
RNA,2024-10-24,5390000000.0
