Company,Date,Market Cap
SRRK,2018-08-03,386230000.0
SRRK,2018-11-01,591310000.0
SRRK,2019-03-01,465650000.0
SRRK,2019-05-01,550490000.0
SRRK,2019-08-01,359430000.0
SRRK,2019-07-31,197350000.0
SRRK,2019-11-01,289360000.0
SRRK,2020-05-01,449300000.0
SRRK,2020-08-03,380600000.0
SRRK,2020-11-04,1510000000.0
SRRK,2021-03-01,1950000000.0
SRRK,2021-05-10,973610000.0
SRRK,2021-08-04,1110000000.0
SRRK,2021-11-04,990050000.0
SRRK,2022-03-02,603940000.0
SRRK,2022-05-10,216050000.0
SRRK,2022-08-03,348570000.0
SRRK,2022-11-08,420540000.0
SRRK,2023-05-04,400130000.0
SRRK,2023-08-03,403190000.0
SRRK,2023-11-02,904680000.0
SRRK,2024-03-14,1150000000.0
SRRK,2024-05-02,1200000000.0
SRRK,2024-08-02,697080000.0
SRRK,2024-11-07,2710000000.0
