Company,Date,Market Cap
TGTX,2012-04-30,31380000.0
TGTX,2012-05-10,92490000.0
TGTX,2012-08-02,79440000.0
TGTX,2012-11-12,52620000.0
TGTX,2013-03-01,100440000.0
TGTX,2013-05-07,148460000.0
TGTX,2013-05-30,164520000.0
TGTX,2013-07-29,205650000.0
TGTX,2013-11-01,137350000.0
TGTX,2014-05-01,202040000.0
TGTX,2014-07-21,365580000.0
TGTX,2014-11-13,609790000.0
TGTX,2015-03-12,744240000.0
TGTX,2015-05-08,746850000.0
TGTX,2015-08-04,918000000.0
TGTX,2015-11-06,669100000.0
TGTX,2016-03-01,494970000.0
TGTX,2016-05-05,442320000.0
TGTX,2016-08-01,315300000.0
TGTX,2016-11-01,306490000.0
TGTX,2017-03-01,327220000.0
TGTX,2017-05-01,727850000.0
TGTX,2017-08-01,764080000.0
TGTX,2017-11-01,551090000.0
TGTX,2018-03-01,1090000000.0
TGTX,2018-05-01,1110000000.0
TGTX,2018-08-03,956550000.0
TGTX,2018-11-05,421950000.0
TGTX,2019-02-15,399220000.0
TGTX,2019-05-03,739400000.0
TGTX,2019-08-02,670870000.0
TGTX,2019-08-03,100090000.0
TGTX,2019-11-05,739240000.0
TGTX,2020-02-21,1710000000.0
TGTX,2020-05-07,2120000000.0
TGTX,2020-08-05,2630000000.0
TGTX,2020-11-04,3750000000.0
TGTX,2021-02-24,6340000000.0
TGTX,2021-05-04,5800000000.0
TGTX,2021-07-30,5000000000.0
TGTX,2021-11-03,4700000000.0
TGTX,2022-02-23,1350000000.0
TGTX,2022-05-06,1020000000.0
TGTX,2022-08-02,836780000.0
TGTX,2022-11-04,848800000.0
TGTX,2023-02-17,2640000000.0
TGTX,2023-05-02,4660000000.0
TGTX,2023-08-02,1590000000.0
TGTX,2023-11-01,1530000000.0
TGTX,2024-02-23,2060000000.0
TGTX,2024-05-02,2540000000.0
TGTX,2024-08-05,2660000000.0
TGTX,2024-11-04,3790000000.0
