Company,Date,Market Cap
TSHA,2020-09-24,830580000.0
TSHA,2020-11-12,759000000.0
TSHA,2021-03-03,951970000.0
TSHA,2021-05-11,796270000.0
TSHA,2021-08-16,607350000.0
TSHA,2021-11-10,605580000.0
TSHA,2022-03-31,250850000.0
TSHA,2022-05-16,134610000.0
TSHA,2022-11-08,137370000.0
TSHA,2023-03-28,41380000.0
TSHA,2023-04-24,42740000.0
TSHA,2023-05-11,45500000.0
TSHA,2023-08-14,137310000.0
TSHA,2023-11-14,248660000.0
TSHA,2024-03-19,420790000.0
TSHA,2024-05-14,480640000.0
TSHA,2024-08-12,418080000.0
TSHA,2024-11-13,452920000.0
