Company,Date,Market Cap
TWST,2018-10-31,380500000.0
TWST,2018-12-12,613400000.0
TWST,2019-02-01,645810000.0
TWST,2019-04-29,777830000.0
TWST,2019-08-07,897970000.0
TWST,2018-12-31,1980000000.0
TWST,2019-12-09,812060000.0
TWST,2020-02-06,1100000000.0
TWST,2020-05-08,1600000000.0
TWST,2020-08-10,2670000000.0
TWST,2021-02-04,9610000000.0
TWST,2021-05-05,5380000000.0
TWST,2021-08-05,6120000000.0
TWST,2021-11-18,5570000000.0
TWST,2022-02-07,3070000000.0
TWST,2022-05-04,1960000000.0
TWST,2022-08-04,2640000000.0
TWST,2022-11-18,1400000000.0
TWST,2023-02-02,1760000000.0
TWST,2023-05-04,739480000.0
TWST,2023-08-03,1190000000.0
TWST,2023-11-17,1380000000.0
TWST,2024-02-29,2270000000.0
TWST,2024-04-29,1860000000.0
TWST,2024-07-31,3270000000.0
TWST,2024-11-13,2520000000.0
