Company,Date,Market Cap
UNH,2010-02-03,38570000000.0
UNH,2010-04-30,34450000000.0
UNH,2010-07-30,34229999999.999996
UNH,2010-10-29,39650000000.0
UNH,2011-01-31,44900000000.0
UNH,2011-04-29,53340000000.0
UNH,2011-07-29,53410000000.0
UNH,2011-10-31,51160000000.0
UNH,2012-01-31,54120000000.0
UNH,2012-04-30,58250000000.0
UNH,2012-07-31,52760000000.0
UNH,2012-10-26,56980000000.0
UNH,2013-01-31,56590000000.0
UNH,2013-05-03,60100000000.0
UNH,2013-08-02,73470000000.0
UNH,2013-10-31,68720000000.0
UNH,2014-01-31,71500000000.0
UNH,2014-04-30,73530000000.0
UNH,2014-07-31,78750000000.0
UNH,2014-10-31,91190000000.0
UNH,2015-01-30,101330000000.0
UNH,2015-04-30,106040000000.0
UNH,2015-07-24,112460000000.0
UNH,2015-10-30,112260000000.0
UNH,2016-01-29,109480000000.0
UNH,2016-04-29,125200000000.0
UNH,2016-07-29,136380000000.0
UNH,2016-10-31,134520000000.00002
UNH,2017-01-31,154180000000.0
UNH,2017-04-28,168530000000.0
UNH,2017-07-31,185450000000.0
UNH,2017-10-31,203720000000.0
UNH,2018-01-31,229120000000.0
UNH,2018-04-30,227180000000.0
UNH,2018-07-31,243720000000.0
UNH,2018-10-31,251430000000.0
UNH,2019-01-31,259269999999.99997
UNH,2019-04-30,221500000000.0
UNH,2019-07-31,235980000000.0
UNH,2019-10-31,239410000000.0
UNH,2020-01-31,258440000000.0
UNH,2020-04-30,277370000000.0
UNH,2020-07-30,290070000000.0
UNH,2020-10-30,289520000000.0
UNH,2021-01-29,315340000000.0
UNH,2021-04-30,376350000000.0
UNH,2021-07-30,388690000000.0
UNH,2021-10-29,433690000000.0
UNH,2022-01-31,444640000000.0
UNH,2022-04-29,477110000000.0
UNH,2022-07-29,507300000000.0
UNH,2022-10-31,518700000000.00006
UNH,2023-01-31,465670000000.0
UNH,2023-04-28,458150000000.0
UNH,2023-07-31,469050000000.0
UNH,2023-10-31,495350000000.0
UNH,2024-01-31,471790000000.0
UNH,2024-04-30,445190000000.0
UNH,2024-07-31,532039999999.99994
UNH,2024-10-31,519500000000.0
