Company,Date,Market Cap
VCEL,2013-10-16,8540000.0
VCEL,2013-10-31,17520000.0
VCEL,2014-02-28,20750000.0
VCEL,2014-04-30,25730000.0
VCEL,2014-07-31,25280000.0
VCEL,2014-10-31,70410000.0
VCEL,2014-11-24,65890000.0
VCEL,2015-03-19,85390000.0
VCEL,2015-05-08,78020000.0
VCEL,2015-08-06,81590000.0
VCEL,2015-11-06,52340000.0
VCEL,2016-03-08,50090000.0
VCEL,2016-05-03,69650000.0
VCEL,2016-08-05,56390000.0
VCEL,2016-11-04,51830000.0
VCEL,2017-03-10,93260000.0
VCEL,2017-05-04,86180000.0
VCEL,2017-08-07,100110000.0
VCEL,2017-11-03,153590000.0
VCEL,2018-02-28,288830000.0
VCEL,2018-05-04,465850000.0
VCEL,2018-08-03,433670000.0
VCEL,2018-11-02,521039999.99999994
VCEL,2019-02-22,856250000.0
VCEL,2019-05-03,775030000.0
VCEL,2019-07-31,843900000.0
VCEL,2018-06-15,343410000.0
VCEL,2019-10-31,709300000.0
VCEL,2020-02-21,863850000.0
VCEL,2020-04-30,654100000.0
VCEL,2020-07-31,746180000.0
VCEL,2020-10-30,841800000.0
VCEL,2021-02-15,2330000000.0
VCEL,2021-04-30,2890000000.0
VCEL,2021-07-30,2470000000.0
VCEL,2021-10-29,2150000000.0
VCEL,2022-02-18,1640000000.0
VCEL,2022-04-29,1340000000.0
VCEL,2022-07-29,1540000000.0
VCEL,2022-11-04,1180000000.0
VCEL,2023-02-17,1410000000.0
VCEL,2023-04-30,1500000000.0
VCEL,2023-07-27,1790000000.0
VCEL,2023-11-02,1700000000.0
VCEL,2024-02-21,2320000000.0
VCEL,2024-04-30,2230000000.0
VCEL,2024-07-24,2570000000.0
VCEL,2024-10-31,2170000000.0
