Company,Date,Market Cap
VKTX,2015-04-29,77540000.0
VKTX,2015-06-10,76310000.0
VKTX,2015-08-10,60070000.0
VKTX,2015-11-02,52750000.0
VKTX,2016-02-29,17530000.0
VKTX,2016-04-29,27940000.0
VKTX,2016-07-31,26990000.0
VKTX,2016-10-31,21580000.0
VKTX,2017-02-28,36450000.0
VKTX,2017-04-30,33500000.0
VKTX,2017-07-31,29080000.0
VKTX,2017-10-31,67830000.0
VKTX,2018-02-28,318630000.0
VKTX,2018-04-30,209840000.0
VKTX,2018-07-31,618710000.0
VKTX,2018-10-31,971850000.0
VKTX,2019-02-28,605400000.0
VKTX,2019-04-30,564130000.0
VKTX,2019-07-31,555300000.0
VKTX,2018-12-31,297380000.0
VKTX,2019-10-31,467540000.0
VKTX,2020-01-31,455690000.0
VKTX,2020-04-15,382580000.0
VKTX,2020-07-15,513669999.99999994
VKTX,2020-10-15,428960000.0
VKTX,2021-01-31,541910000.0
VKTX,2021-04-15,475630000.0
VKTX,2021-07-15,456630000.0
VKTX,2021-10-15,470190000.0
VKTX,2022-01-31,290730000.0
VKTX,2022-04-15,213550000.0
VKTX,2022-07-15,283750000.0
VKTX,2022-10-15,250770000.0
VKTX,2023-01-31,686950000.0
VKTX,2023-04-15,1870000000.0
VKTX,2023-07-15,1560000000.0
VKTX,2023-10-15,1100000000.0
VKTX,2024-01-31,2430000000.0
VKTX,2024-04-15,7380000000.0
VKTX,2024-07-15,6580000000.0
VKTX,2024-10-15,728570000.0
