Company,Date,Market Cap
XNCR,2013-12-03,228450000.0
XNCR,2014-03-14,435920000.0
XNCR,2014-04-30,310480000.0
XNCR,2014-07-24,304220000.0
XNCR,2014-11-06,341580000.0
XNCR,2015-02-06,473040000.0
XNCR,2015-04-24,594490000.0
XNCR,2015-07-24,947450000.0
XNCR,2015-10-28,457790000.0
XNCR,2016-02-26,452080000.0
XNCR,2016-04-26,545180000.0
XNCR,2016-07-28,760030000.0
XNCR,2016-10-25,869260000.0
XNCR,2017-02-17,1130000000.0
XNCR,2017-05-02,1140000000.0
XNCR,2017-08-01,1060000000.0
XNCR,2017-10-31,928890000.0
XNCR,2018-02-16,1190000000.0
XNCR,2018-05-04,1680000000.0
XNCR,2018-08-01,2100000000.0
XNCR,2018-10-31,1840000000.0
XNCR,2019-02-15,2049999999.9999998
XNCR,2019-05-02,1740000000.0
XNCR,2019-08-01,2490000000.0
XNCR,2019-07-22,4150000000.0000005
XNCR,2019-10-31,1940000000.0
XNCR,2020-02-14,2080000000.0
XNCR,2020-04-29,1780000000.0
XNCR,2020-07-30,1810000000.0
XNCR,2020-10-30,2210000000.0
XNCR,2021-02-16,2900000000.0
XNCR,2021-04-26,2590000000.0
XNCR,2021-07-28,1880000000.0
XNCR,2021-11-01,2390000000.0
XNCR,2022-02-16,1930000000.0
XNCR,2022-04-29,1490000000.0
XNCR,2022-07-29,1710000000.0
XNCR,2022-11-03,1620000000.0
XNCR,2023-02-15,2120000000.0
XNCR,2023-04-29,1600000000.0
XNCR,2023-07-28,1450000000.0
XNCR,2023-11-01,1060000000.0
XNCR,2024-02-15,1300000000.0
XNCR,2024-05-02,1460000000.0
XNCR,2024-07-30,1290000000.0
XNCR,2024-10-30,1470000000.0
